Site_ID,year
10-003-2004,2006
10-003-2004,2007
11-001-0042,2000
11-001-0042,2001
11-001-0042,2002
11-001-0042,2003
11-001-0042,2004
11-001-0042,2005
11-001-0042,2006
11-001-0042,2007
11-001-0042,2008
11-001-0043,2002
11-001-0043,2003
11-001-0043,2004
11-001-0043,2005
11-001-0043,2006
11-001-0043,2007
12-017-9000,2000
12-017-9000,2001
12-017-9000,2002
12-017-9000,2003
12-017-9000,2006
12-017-9000,2007
12-017-9000,2008
12-057-3002,2004
12-057-3002,2005
12-057-3002,2006
12-057-3002,2007
12-057-3002,2008
12-073-0012,2002
12-073-0012,2003
12-073-0012,2004
12-073-0012,2005
12-073-0012,2006
12-073-0012,2007
12-073-0012,2008
12-086-1016,2002
12-086-1016,2003
12-086-1016,2004
12-086-1016,2005
12-103-0026,2005
12-103-0026,2006
12-103-0026,2007
12-103-0026,2008
12-129-0001,2001
12-129-0001,2002
12-129-0001,2003
12-129-0001,2004
12-129-0001,2005
12-129-0001,2006
12-129-0001,2007
12-129-0001,2008
13-021-0007,2003
13-021-0007,2004
13-021-0007,2005
13-021-0007,2006
13-021-0007,2007
13-049-9000,2000
13-049-9000,2001
13-049-9000,2002
13-049-9000,2003
13-049-9000,2004
13-049-9000,2005
13-049-9000,2006
13-049-9000,2007
13-049-9000,2008
13-059-0001,2003
13-059-0001,2004
13-059-0001,2005
13-059-0001,2006
13-059-0001,2007
13-059-0001,2008
13-069-0002,2003
13-069-0002,2004
13-069-0002,2005
13-069-0002,2006
13-069-0002,2007
13-069-0002,2008
13-089-0002,2002
13-089-0002,2003
13-089-0002,2004
13-089-0002,2005
13-089-0002,2006
13-089-0002,2007
13-089-0002,2008
13-115-0005,2003
13-115-0005,2004
13-115-0005,2005
13-115-0005,2006
13-115-0005,2007
13-115-0005,2008
13-213-0003,2001
13-213-0003,2002
13-213-0003,2003
13-213-0003,2004
13-213-0003,2005
13-213-0003,2006
13-213-0003,2007
13-213-0003,2008
13-213-9000,2001
13-213-9000,2002
13-213-9000,2003
13-213-9000,2004
13-213-9000,2005
13-213-9000,2006
13-213-9000,2007
13-213-9000,2008
13-245-0091,2003
13-245-0091,2004
13-245-0091,2005
13-245-0091,2006
13-245-0091,2007
13-245-0091,2008
16-027-0004,2002
16-027-0004,2003
16-027-0004,2004
16-027-0004,2005
16-027-0004,2006
16-037-0002,2002
16-037-0002,2003
16-037-0002,2004
16-037-0002,2005
16-037-0002,2006
16-037-0002,2007
16-037-0002,2008
17-019-1001,2005
17-019-1001,2006
17-019-1001,2007
17-019-1001,2008
17-031-0057,2002
17-031-0057,2003
17-031-0057,2004
17-031-0057,2005
17-031-0057,2006
17-031-0057,2007
17-031-0076,2002
17-031-0076,2003
17-031-0076,2004
17-031-0076,2005
17-031-0076,2006
17-031-0076,2007
17-031-4201,2003
17-031-4201,2004
17-031-4201,2005
17-031-4201,2006
17-031-4201,2007
